opportunity_id,category,code,created_at,currency_type,duration,duration_type,fee,image_link,is_archived,is_auto_approve,last_date_to_apply,location,long_description,microscholarship,modified_at,name,role,role_responsibility,short_description,summary,is_likely_test_data,has_badge,has_career_addon,has_panellist,has_dropout_transaction,has_not_started_transaction,num_cohorts,num_eligibility_criteria,num_rewards,num_testimonials,num_tracking_questions
Opportunity#000000000GBD0AX3Z6VYRG7R75,Competition,M636023,2022-08-08 23:06:40,USD,300.0,Minutes,0.0,https://www.clipartkey.com/mpngs/m/56-563364_business-competition-competition-icon.png,True,True,2023-07-22 04:26:40,,"Your future is in your hands, truly. Ideate and innovate a product that will be one of the solutions to future office spaces. Use the problem-solving skills to find out what is missing in today's offices that you would like to create. Grab this opportunity to challenge yourself to think outside the box. Participate now! Your ideas are safe with us! Guidelines Do's Send the entries strictly in PPT, PDF or MP4 form. Strictly adhere to the topic. All ideas must be original. Photo/Video must be clear with description. Don'ts Plagiarized content will be disqualified. Explicit content senders will be barred from participating in all GS contests. Submit only once. Judging criteria Entries will be judged solely on the basis of originality and practicality of the ideas adhering to the topic of the competition.",500.0,2023-07-22 04:26:40,Mini Saga 3.0,,,Express yourself in 50-words!,cc,False,True,False,False,False,False,1,4,3,3,0
Opportunity#000000000GFKZ4N696ZF8V2WM8,Career,A463411,2022-08-08 23:06:40,USD,1.0,Years,0.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSJx4dNozEoP0FU-QvliHK5_bLvl467QkxDZRkj1ECdDLHjQEk7qqBF8VCD-oVp_k6bgQ&usqp=CAU,True,True,2023-07-22 04:26:40,,"At GlobalShala we believe that experiential learning has the power to change the world, and young leaders like you can accelerate that change. Our signature virtual internship program is a four-week experience where students get to solve real world business problems while working with students from across the globe. We are currently looking for internship facilitators to help, support and guide our virtual interns through this journey.",100.0,2023-07-22 04:26:40,Virtual Internship Facilitator,,"Leading and mentoring a group of 5-10 students from around the world. Conducting virtual meetings, interacting and following up with interns Creating meaningful data reports",In this role you be impacting young lives while gaining global exposure by working with peers from around the world to help them in their internship journey.,,False,True,True,False,False,False,1,3,4,1,0
Opportunity#0000000010ZFE0ZS22FA3Q62R4,Career,A8848RT,2024-03-09 16:00:00,,30.0,Weeks,0.0,https://excelerate-profile-dev.s3.ap-south-1.amazonaws.com/WebsiteImageFiles/Opportunity/Opportunity_0000000010SN1SPEAXRKH186ZR_image_link.jpeg,,False,2019-06-08 13:20:00,Work From Home,,0.0,2024-03-09 16:00:00,Careerwishlist Automation 1710333189352,,Testing and debugging,"Short Description, Explore hands-on defensive hacking techniques by understanding the concept of ?blue teams,? different attack vectors, brute force, denial of service, scans, backdoor attacks, and ot",,False,False,False,False,False,False,1,0,0,0,0
Opportunity#000000000GG34EPWZAJ6BDPQKP,Internship,I882052,2022-12-02 16:53:20,USD,20.0,Minutes,0.0,https://excelerateuserprofile.s3.ap-south-1.amazonaws.com/opportunity_Images/200x200_digital+marketing.png,True,True,2023-11-14 22:13:20,,"In this internship, you will help your sponsor improve their social media presence and grow their business by increasing their followers, expanding customer engagement and improving the user experience. Your aim will be to achieve this through best practices and proven strategies for digital marketing & communications. During your Virtual Internship, you will have the opportunity to conduct a social media audit, identify and create customer personas in order to develop recommendations on content strategy and key messages.",1000.0,2023-07-22 04:26:40,Digital Marketing - Demo,,,Explore the best practices and proven strategies for digital marketing and communications,,False,True,False,False,False,False,2,3,4,9,0
Opportunity#000000000GQHDFWJ9R1HQJ4WTE,Event,E307640,2022-08-08 23:06:40,USD,3.0,Years,0.0,https://excelerateuserprofile.s3.ap-south-1.amazonaws.com/opportunity_Images/1202931267847103.8nkod3OotcdxxDtl5YL9_height640.png,False,True,2026-05-28 20:26:40,,"As technologies such as social media apps and augmented and virtual reality increasingly permeate our lives, how can we design technologies that best support the human user? This exciting program explores technology through the lens of the human experience. In this program students will achieve several learning objectives, including: -- Understanding the purpose and basic process of user experience design -- Understanding and practice the iterative design process -- Working collaboratively to identify and solve problems -- Communicating ideas effectively through text, images, and speech Skills practiced include: -- Following precisely a complex multistep procedure when carrying out experiments, taking measurements, or performing technical tasks; analyzing the specific results based on explanations in the text -- Determining the meaning of symbols, key terms, and other domain-specific words and phrases as they are used in a specific scientific or technical context -- Integrating and evaluating multiple sources of information presented in diverse formats and media (e.g., quantitative data, video, multimedia) in order to address a question or solve a problem -- Synthesizing information from a range of sources (e.g., texts, experiments, simulations) into a coherent understanding of a process, phenomenon, or concept, resolving conflicting information when possible .",500.0,2026-05-28 20:26:40,Humanizing Technology: An Introduction to User Experience,,,"Students will learn the fundamentals of user experience, including user personas and user journey mapping, apply these to a variety of everyday objects, and then participate in a hands-on UX design exercise.",,False,False,False,True,False,False,4,1,7,6,0
Opportunity#000000000GQK8HHSCCDYA3TA1Y,Course,U792299,2022-08-08 23:06:40,USD,20.0,Days,0.0,https://static1.squarespace.com/static/5d5889ce1b80150001bbd7af/t/5dd30c8e37bfa5280e9bba26/1574112401754/Main+Color+-+WHITE+-+Less+Margins.jpeg?format=1500w,False,False,2025-02-19 21:20:00,Virtual,"The Stuart School of Business is hosting an engaging and relevant business-focused, week-long summer program for high school students called %22Running A Small Business: Food for Thought.? Students will explore five pillars of business: economics, operations, entrepreneurship, finance, and marketing through the lens of owning, opening, managing, and operating a food truck. They will get to participate in hands-on business simulations and design their own food truck business model, plus on the last day, the program will commence with a meet and greet afternoon lunch with a couple of high profile Chicago food truck owners. The program will be led by BSBA program director John Twombly (Ph.D., University of Chicago, Accounting) and students will explore unique learning outcomes and business center skills with the following faculty members: Dr. Ben VanVliet (Ph.D. - Stuart School of Business, Management Science_, Dr. Liz Durango-Cohen (Ph.D., University of California, Berkeley, Industrial Engineering and Operations Research), Professor Nik Rokop (M.D.M., Illinois Institute of Technology Institute of Design), Mr. Pouya Haddadian (Ph.D. student at Stuart School of Business, Management Science), & Dr. Dinakar Jayarajan (Ph.D., USC Marshall School of Business, Business Administration (Marketing)). Over the course of five days, high school rising sophomores, juniors, and seniors will have the opportunity to participate in a series of three-hour seminars from these esteemed faculty members to explore the five key pillars of business: Economics, Operations, Entrepreneurship, Finance, Marketing",500.0,2025-02-19 21:20:00,Business Bootcamp,,,"Students will explore five pillars of business: economics, operations, entrepreneurship, finance, and marketing through the lens of owning, opening, managing, and operating a food truck.Students will explore five pillars of business: economics, operations, entrepreneurship, finance, and marketing through the lens of owning, opening, managing, and operating a food truck.Students will explore five pillars of business: economics, operations, entrepreneurship, finance, and marketing through the lens of owning, opening, managing, and operating a food truck.Students will explore five pillars of business: economics, operations, entrepreneurship, finance, and marketing through the lens of owning, opening, managing, and operating a food truck.",,False,True,False,True,False,False,5,3,6,10,1
Opportunity#0000000010ZK125W68Z6BG2EAF,Engagement,N18Q274,2024-10-27 03:33:20,USD,30.0,Weeks,0.0,https://excelerate-profile-dev.s3.ap-south-1.amazonaws.com/WebsiteImageFiles/Opportunity/Opportunity_00000000107H3RAWQW75ZAWNFN_image_link.png,,False,2024-10-27 03:33:20,,"Long Description, In this internship you will be in the role of a Cyber Defense Analyst at GlobalShala to serve our client Cisco, and will help to set up a virtualization environment for threat assessments testing and understanding different attack vectors. By the end of the internship the goal is to create a Virtual Machine (VM) that has the security tools and information security controls so it may be used throughout the organisation.",120.0,2024-10-27 03:33:20,Engagement Automation 1727707155949,,,"Short Description, Explore hands-on defensive hacking techniques by understanding the concept of ?blue teams,? different attack vectors, brute force, denial of service, scans, backdoor attacks, and ot",,False,True,False,False,False,False,1,1,2,0,3
Opportunity#000000000GRHVKGM2HQQFC68V7,Internship,U932534,2022-12-02 16:53:20,USD,55.0,Minutes,5.0,https://www.google.com/search?q=google&rlz=1C1CHBF_enIN947IN947&oq=google&aqs=chrome.0.0i131i355i433i512j46i131i199i433i465i512j69i59l2j0i131i433i512j69i60l3.1040j0j7&sourceid=chrome&ie=UTF-8,False,True,2025-02-19 21:20:00,Work From Home,GlobalShala is an experiential learning platform equipping you with 21st Century skills through lifelong learning opportunities.,500.0,2025-02-19 21:20:00,Prashans - Course Test 1,Tester,,GlobalShala is an experiential learning platform equipping you with 21st Century skills through lifelong learning opportunities.,,True,True,False,True,False,False,2,3,10,7,2
Opportunity#0000000010YHJCSGAKECPBFQ65,Course,UOU4P4A,2025-02-19 21:20:00,,30.0,Weeks,0.0,https://excelerate-profile-dev.s3.ap-south-1.amazonaws.com/WebsiteImageFiles/Opportunity/Opportunity_0000000010FFEKYKE8FVQKNYA7_image_link.png,,False,2019-06-08 13:20:00,Virtual,,0.0,2025-02-19 21:20:00,Course Automation 1740727622332,,,"Short Description, Explore hands-on defensive hacking techniques by understanding the concept of ?blue teams,? different attack vectors, brute force, denial of service, scans, backdoor attacks, and ot",,False,False,False,False,False,False,1,0,0,0,0
Opportunity#0000000010ZNX2EXET8MGC9F7B,Career,AS0YA59,2023-11-14 22:13:20,,30.0,Weeks,0.0,https://excelerateuserprofile.s3.ap-south-1.amazonaws.com/opportunity_Images/Improved-career-planning-and-development-for-your-employees.png,,False,2019-06-08 13:20:00,Virtual,,0.0,2023-11-14 22:13:20,Careerwishlist Automation 1701751082558,,Testing and debugging,"Short Description, Explore hands-on defensive hacking techniques by understanding the concept of ?blue teams,? different attack vectors, brute force, denial of service, scans, backdoor attacks, and ot",,False,False,False,False,False,False,1,0,0,0,0
