opportunity_id,Badge,CareerAddOn,Cohort,Eligibility,Panellist,Reward,Testimonial,DropoutTransaction,NotStartedTransaction,tracking_questions
Opportunity#000000000GBD0AX3Z6VYRG7R75,"{""sk"":""Badge#000000000G87VEXNYKKKTJTKE9"",""ref_properties"":""{\""relation_id\"":\""K9MSIZ\""}""}",,"{""sk"":""Cohort#000000000GWJV80KJCAEP0JMCF"",""ref_properties"":""{\""relation_id\"":\""FLJII2\""}""}","{""sk"":""Eligibility#000000000GNQAM21BYCRBX5Z27"",""ref_properties"":""{\""relation_id\"":\""L7Y3O8\""}""},{""sk"":""Eligibility#000000000G6DGARQ8VQYJBB8ZE"",""ref_properties"":""{\""relation_id\"":\""FY26Z3\""}""},{""sk"":""Eligibility#000000000GF6KQ9RF2HK4CE5K9"",""ref_properties"":""{\""relation_id\"":\""7W0GVA\""}""},{""sk"":""Eligibility#000000000GF0H68ZRC47Q6K4XE"",""ref_properties"":""{\""relation_id\"":\""YNHQCV\""}""}",,"{""sk"":""Reward#000000000GP9G70RKA2V5WXN5B"",""ref_properties"":""{\""relation_id\"":\""UYQ156\""}""},{""sk"":""Reward#000000000G5YNVK3VA2CRJJXJD"",""ref_properties"":""{\""relation_id\"":\""I30DXA\""}""},{""sk"":""Reward#000000000GS48VZTYCVPK90CE1"",""ref_properties"":""{\""relation_id\"":\""KIFXA7\""}""}","{""sk"":""Testimonial#0000000010RY2C6SEZQ3HGA9CM"",""ref_properties"":""{\""relation_id\"":\""IOAAXG\""}""},{""sk"":""Testimonial#0000000010HZRZ2XH1P3SXPJB3"",""ref_properties"":""{\""relation_id\"":\""I7YPFH\""}""},{""sk"":""Testimonial#000000001054CYACFENVVTAKNN"",""ref_properties"":""{\""relation_id\"":\""7Q5155\""}""}",,,
Opportunity#000000000GFKZ4N696ZF8V2WM8,"{""sk"":""Badge#000000000GAR6YSZ2B71HZJPM3"",""ref_properties"":""{\""relation_id\"":\""6AJ5FD\""}""}","{""sk"":""CareerAddOn#000000000G8FT85VQ6BFCT0M0K"",""ref_properties"":""{\""accept_reject_reason\"":\""LGTM\"",\""relation_id\"":\""69EO7D\""}""}","{""sk"":""Cohort#000000000GMAPG3GQV19H288WA"",""ref_properties"":""{\""relation_id\"":\""ETWAAR\""}""}","{""sk"":""Eligibility#000000000GNQAM21BYCRBX5Z27"",""ref_properties"":""{\""relation_id\"":\""VUFQ5C\""}""},{""sk"":""Eligibility#000000000G6DGARQ8VQYJBB8ZE"",""ref_properties"":""{\""relation_id\"":\""0NSK8W\""}""},{""sk"":""Eligibility#000000000GF6KQ9RF2HK4CE5K9"",""ref_properties"":""{\""relation_id\"":\""Q93FVT\""}""}",,"{""sk"":""Reward#000000000GP9G70RKA2V5WXN5B"",""ref_properties"":""{\""relation_id\"":\""AVEM15\""}""},{""sk"":""Reward#000000000GPWPT65H92PVBCQ43"",""ref_properties"":""{\""relation_id\"":\""IH07CL\""}""},{""sk"":""Reward#000000000GS48VZTYCVPK90CE1"",""ref_properties"":""{\""relation_id\"":\""174GFB\""}""},{""sk"":""Reward#000000000G9Q8MS25MET81MP4H"",""ref_properties"":""{\""relation_id\"":\""NSD7OK\""}""}","{""sk"":""Testimonial#0000000010D46TNR53M1VB684P"",""ref_properties"":""{\""relation_id\"":\""72217F\""}""}",,,
Opportunity#0000000010ZFE0ZS22FA3Q62R4,,,"{""sk"":""Cohort#0000000010NSPP283G9WKVMTF1"",""created_at"":""1710333224764"",""ref_properties"":""{\""relation_id\"":\""5SQYPD\""}""}",,,,,,,
Opportunity#000000000GG34EPWZAJ6BDPQKP,"{""sk"":""Badge#000000000GGQG1DZ2TSSHR55G9"",""ref_properties"":""{\""relation_id\"":\""76DV7Q\""}""}",,"{""sk"":""Cohort#000000000G5NWDEFZY8WZMG5TM"",""ref_properties"":""{\""relation_id\"":\""Y2ATO0\""}""},{""sk"":""Cohort#00000000104AQ3FHTJWP4FKTK5"",""ref_properties"":""{\""relation_id\"":\""YHBY1D\""}""}","{""sk"":""Eligibility#000000000GNQAM21BYCRBX5Z27"",""ref_properties"":""{\""relation_id\"":\""IUIPDQ\""}""},{""sk"":""Eligibility#000000000G6DGARQ8VQYJBB8ZE"",""ref_properties"":""{\""relation_id\"":\""JHWDLR\""}""},{""sk"":""Eligibility#000000000GF6KQ9RF2HK4CE5K9"",""ref_properties"":""{\""relation_id\"":\""3OGVK4\""}""}",,"{""sk"":""Reward#000000000GP9G70RKA2V5WXN5B"",""ref_properties"":""{\""relation_id\"":\""6QX2YD\""}""},{""sk"":""Reward#000000000GS48VZTYCVPK90CE1"",""ref_properties"":""{\""relation_id\"":\""NC3JM1\""}""},{""sk"":""Reward#000000000GPWPT65H92PVBCQ43"",""ref_properties"":""{\""relation_id\"":\""6D24RI\""}""},{""sk"":""Reward#000000000GK743JP3HH0P9SRB0"",""ref_properties"":""{\""relation_id\"":\""L4RETA\""}""}","{""sk"":""Testimonial#00000000103FKJAPTGDJ3E9MBV"",""ref_properties"":""{\""relation_id\"":\""MWZ0NG\""}""},{""sk"":""Testimonial#0000000010F7J5TD7NXXP2WYP5"",""ref_properties"":""{\""relation_id\"":\""74C52O\""}""},{""sk"":""Testimonial#0000000010NN9FDKCNXXVC1PQN"",""ref_properties"":""{\""relation_id\"":\""QERCHX\""}""},{""sk"":""Testimonial#0000000010FHW5AYJ1Q2103B6P"",""ref_properties"":""{\""relation_id\"":\""0WGFGB\""}""},{""sk"":""Testimonial#00000000101YT7BRBW5B9MBHA5"",""ref_properties"":""{\""relation_id\"":\""PQY325\""}""},{""sk"":""Testimonial#0000000010Z3NN89F1RJY3R5XT"",""ref_properties"":""{\""relation_id\"":\""LMODSF\""}""},{""sk"":""Testimonial#0000000010DZAX8XSQ8V4BG98C"",""ref_properties"":""{\""relation_id\"":\""SABXYC\""}""},{""sk"":""Testimonial#0000000010BTT1DD7GQWF79RBH"",""ref_properties"":""{\""relation_id\"":\""3HN6TH\""}""},{""sk"":""Testimonial#0000000010V6XNNKWDQHBRXC9H"",""ref_properties"":""{\""relation_id\"":\""6VSYCS\""}""}",,,
Opportunity#000000000GQHDFWJ9R1HQJ4WTE,,,"{""sk"":""Cohort#000000000GG395GEZJKV7T5ZSG"",""ref_properties"":""{\""relation_id\"":\""U9OUX1\""}""},{""sk"":""Cohort#00000000102AESZWZ6AGFD4B7E"",""ref_properties"":""{\""relation_id\"":\""W7OZ63\""}""},{""sk"":""Cohort#0000000010J1CBGS4XX9QANSAW"",""created_at"":""1735924338552"",""ref_properties"":""{\""relation_id\"":\""KLOB2D\""}""},{""sk"":""Cohort#00000000100N7VRP9VAM0CT28V"",""created_at"":""1772430750805"",""ref_properties"":""{\""relation_id\"":\""CXWJD7\""}""}","{""sk"":""Eligibility#000000000GF6KQ9RF2HK4CE5K9"",""created_at"":""1710851094176"",""modified_at"":""1710851100175"",""ref_properties"":""{\""relation_id\"":\""EQUFYG\""}""}","{""sk"":""Panellist#000000000GJZDTG56N34DZP205"",""ref_properties"":""{\""relation_id\"":\""W2YUED\""}""}","{""sk"":""Reward#000000000GPWPT65H92PVBCQ43"",""ref_properties"":""{\""relation_id\"":\""62PREW\""}""},{""sk"":""Reward#000000000GK743JP3HH0P9SRB0"",""ref_properties"":""{\""relation_id\"":\""NJ8YIC\""}""},{""sk"":""Reward#0000000010HQVGM1SVG2R2KD29"",""created_at"":""1692372726620"",""ref_properties"":""{\""relation_id\"":\""AJ38C2\""}""},{""sk"":""Reward#000000000GS48VZTYCVPK90CE1"",""created_at"":""1692372726629"",""modified_at"":""1692948924236"",""ref_properties"":""{\""test\"":\""123\"",\""relation_id\"":\""AJ38C2\""}""},{""sk"":""Reward#000000000GZPT2BPXSJ19KWQN1"",""created_at"":""1692372726655"",""ref_properties"":""{\""relation_id\"":\""AJ38C2\""}""},{""sk"":""Reward#000000000G9R61WMJ7MQD56ZRT"",""created_at"":""1692601267339"",""ref_properties"":""{\""relation_id\"":\""WFOTK8\""}""},{""sk"":""Reward#000000000GW0SHJY6943JR5X9M"",""created_at"":""1692601267348"",""ref_properties"":""{\""relation_id\"":\""WFOTK8\""}""}","{""sk"":""Testimonial#0000000010HB3W8EZW550FT6M1"",""ref_properties"":""{\""relation_id\"":\""9VNU1P\""}""},{""sk"":""Testimonial#0000000010926T2MH15K2ATJ08"",""ref_properties"":""{\""relation_id\"":\""55AI5C\""}""},{""sk"":""Testimonial#0000000010FPNTSFEJDRY6ZEB7"",""ref_properties"":""{\""relation_id\"":\""RWOWTJ\""}""},{""sk"":""Testimonial#0000000010MB4Q6989V8WP1WGM"",""ref_properties"":""{\""relation_id\"":\""6Y5IJJ\""}""},{""sk"":""Testimonial#0000000010RAQG5SAWZYJMK51C"",""created_at"":""1690958152844"",""ref_properties"":""{\""relation_id\"":\""S5DLNY\""}""},{""sk"":""Testimonial#0000000010BBTR1J8G6HT16W6R"",""created_at"":""1742906397895"",""ref_properties"":""{\""relation_id\"":\""2QNXFJ\""}""}",,,"{""code"":""Team"",""is_required_for_badge_award"":""true"",""is_frozen"":""false"",""question"":""Onboarding Meeting"",""ans_type"":""boolean""},{""code"":""QA2VA2X"",""is_required_for_badge_award"":""false"",""is_frozen"":""false"",""question"":""Notes"",""ans_type"":""boolean""}"
Opportunity#000000000GQK8HHSCCDYA3TA1Y,"{""sk"":""Badge#000000000GK5A7GFSWAQC3BGV6"",""ref_properties"":""{\""relation_id\"":\""5DTUK1\""}""},{""sk"":""Badge#000000001034MKC8KAWJYBAZV6"",""created_at"":""1710414867558"",""ref_properties"":""{\""relation_id\"":\""IDVKKI\""}""}",,"{""sk"":""Cohort#000000000G070VW1Y7SW9WX4XW"",""created_at"":""1688134921040"",""modified_at"":""1726208109277"",""ref_properties"":""{\""relation_id\"":\""KKPE3M\""}""},{""sk"":""Cohort#0000000010P47S56B7CQJV6613"",""created_at"":""1687356011195"",""modified_at"":""1687414348249"",""ref_properties"":""{\""relation_id\"":\""40OJZB\""}""},{""sk"":""Cohort#000000001080T7MYR1ND5018BG"",""created_at"":""1687414193368"",""modified_at"":""1687414239937"",""ref_properties"":""{\""test\"":\""123\"",\""relation_id\"":\""1SA4OT\""}""},{""sk"":""Cohort#0000000010JVB7E2Y8SNWXFZV7"",""created_at"":""1722959936802"",""ref_properties"":""{\""relation_id\"":\""X0CKEX\""}""},{""sk"":""Cohort#00000000105M0SJXNA1ZB9PTAH"",""created_at"":""1735924947639"",""ref_properties"":""{\""relation_id\"":\""YOBKK2\""}""}","{""sk"":""Eligibility#000000000GK6W2Y6NDKJR1N3K2"",""created_at"":""1726771767930"",""modified_at"":""1726771767930"",""ref_properties"":""{\""Test\"":\""Test value\"",\""relation_id\"":\""EHIQZV\""}""},{""sk"":""Eligibility#000000000G9AHQB5AT86CQD79A"",""ref_properties"":""{\""relation_id\"":\""O905J9\""}""},{""sk"":""Eligibility#0000000010QX5SPXPASCCS1GG2"",""created_at"":""1687414974362"",""modified_at"":""1687415044249"",""ref_properties"":""{\""relation_id\"":\""FUQ2FW\""}""}","{""sk"":""Panellist#0000000010NTYMTY1WKHPJ07WE"",""created_at"":""1734070067242"",""ref_properties"":""{\""relation_id\"":\""8MWG8V\""}""}","{""sk"":""Reward#000000000GP9G70RKA2V5WXN5B"",""ref_properties"":""{\""relation_id\"":\""IT2YHK\""}""},{""sk"":""Reward#000000000GPWPT65H92PVBCQ43"",""ref_properties"":""{\""relation_id\"":\""USB25O\""}""},{""sk"":""Reward#0000000010HQVGM1SVG2R2KD29"",""ref_properties"":""{\""relation_id\"":\""RSKQTI\""}""},{""sk"":""Reward#0000000010HQVGM1SVG2R2KD29"",""ref_properties"":""{\""relation_id\"":\""178T8T\""}""},{""sk"":""Reward#0000000010FSBA2Q81WZG4PEP8"",""ref_properties"":""{\""relation_id\"":\""GC3KIB\""}""},{""sk"":""Reward#00000000107H8QRNMFASBWGYK6"",""created_at"":""1687415210901"",""modified_at"":""1687415275967"",""ref_properties"":""{\""relation_id\"":\""F15AG6\""}""}","{""sk"":""Testimonial#0000000010P11VKMJEG4E4S52X"",""ref_properties"":""{\""relation_id\"":\""CQAYFB\""}""},{""sk"":""Testimonial#000000001093H5M444HYBF35GD"",""ref_properties"":""{\""relation_id\"":\""3T12G0\""}""},{""sk"":""Testimonial#00000000106SHH16F4X6573VPZ"",""ref_properties"":""{\""relation_id\"":\""M8P5X1\""}""},{""sk"":""Testimonial#0000000010KFM4Y7DN6JKNGHT0"",""ref_properties"":""{\""relation_id\"":\""36X6JR\""}""},{""sk"":""Testimonial#00000000102MWFSSC4X0P90BNZ"",""ref_properties"":""{\""relation_id\"":\""NPFS3C\""}""},{""sk"":""Testimonial#00000000101GCB329C92TR05W8"",""ref_properties"":""{\""relation_id\"":\""BB2EZC\""}""},{""sk"":""Testimonial#0000000010GH2K075F55H7DPG2"",""ref_properties"":""{\""relation_id\"":\""UI23TD\""}""},{""sk"":""Testimonial#0000000010KVV7P98JRW3ZNMHR"",""ref_properties"":""{\""relation_id\"":\""1EHTB8\""}""},{""sk"":""Testimonial#0000000010C7GZ7EATCM5BWZRV"",""ref_properties"":""{\""relation_id\"":\""GJ4IYE\""}""},{""sk"":""Testimonial#0000000010J3S25MFS83XGN43V"",""created_at"":""1687414583382"",""modified_at"":""1687414828866"",""ref_properties"":""{\""relation_id\"":\""6QYUUG\""}""}",,,"{""serial_number"":""1"",""code"":""QYC01K5"",""is_required_for_badge_award"":""true"",""question"":""cdcdcd"",""is_frozen"":""false"",""ans_type"":""boolean""},{""code"":""QGF9XOZ"",""question"":""fvfced"",""is_frozen"":""false"",""ans_type"":""number""}"
Opportunity#0000000010ZK125W68Z6BG2EAF,"{""sk"":""Badge#00000000106BCP0TFB1Y2D0V0Q"",""created_at"":""1727707449137"",""ref_properties"":""{\""relation_id\"":\""NZA82M\""}""}",,"{""sk"":""Cohort#0000000010KT69MXNP1AFY8SF3"",""created_at"":""1727707449129"",""ref_properties"":""{\""relation_id\"":\""COY83Z\""}""}","{""sk"":""Eligibility#00000000107TKPTEQX1WDRMXVH"",""created_at"":""1727707449130"",""ref_properties"":""{\""relation_id\"":\""YFF1C4\""}""}",,"{""sk"":""Reward#00000000105JP4MF3PBSMR68EE"",""created_at"":""1727707449137"",""ref_properties"":""{\""relation_id\"":\""Y2OFWC\""}""},{""sk"":""Reward#0000000010N791AZXGT5C1HBBX"",""created_at"":""1727707449143"",""ref_properties"":""{\""relation_id\"":\""SQ1D65\""}""}",,,,"{""serial_number"":""1"",""is_required_for_badge_award"":""false"",""code"":""QAXJ3K0"",""question"":""Question1"",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""2"",""is_required_for_badge_award"":""false"",""code"":""QNBJFIS"",""question"":""Question2"",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""1"",""code"":""QR3FP9E"",""is_required_for_badge_award"":""false"",""question"":""Additional Notes"",""is_frozen"":""false"",""ans_type"":""string""}"
Opportunity#000000000GRHVKGM2HQQFC68V7,"{""sk"":""Badge#000000000G1X85MGR4KRAZJYK8"",""ref_properties"":""{\""test\"":\""test\"",\""relation_id\"":\""9GL03J\""}""}",,"{""sk"":""Cohort#000000000GZ6H8QB1DQSS94RJ7"",""ref_properties"":""{\""relation_id\"":\""NHPETH\""}""},{""sk"":""Cohort#0000000010G5ZEKDAEEE7J8HVQ"",""ref_properties"":""{\""relation_id\"":\""1K4JLB\""}""}","{""sk"":""Eligibility#000000000GNQAM21BYCRBX5Z27"",""ref_properties"":""{\""relation_id\"":\""OCE56R\""}""},{""sk"":""Eligibility#000000000G6DGARQ8VQYJBB8ZE"",""ref_properties"":""{\""relation_id\"":\""P3PCYQ\""}""},{""sk"":""Eligibility#000000000GF6KQ9RF2HK4CE5K9"",""ref_properties"":""{\""relation_id\"":\""PQCA8G\""}""}","{""sk"":""Panellist#000000000GCBT4MXAEFERV9EP6"",""ref_properties"":""{\""relation_id\"":\""PIKLX5\""}""}","{""sk"":""Reward#000000000GBCE0TM8558G1B882"",""ref_properties"":""{\""relation_id\"":\""S0ICC8\""}""},{""sk"":""Reward#000000000GP9G70RKA2V5WXN5B"",""ref_properties"":""{\""relation_id\"":\""XSSBAQ\""}""},{""sk"":""Reward#000000000G5YNVK3VA2CRJJXJD"",""ref_properties"":""{\""relation_id\"":\""U8AMHL\""}""},{""sk"":""Reward#000000000GS48VZTYCVPK90CE1"",""ref_properties"":""{\""relation_id\"":\""WRAHLK\""}""},{""sk"":""Reward#000000000GZPT2BPXSJ19KWQN1"",""ref_properties"":""{\""relation_id\"":\""I3B79B\""}""},{""sk"":""Reward#000000000G9R61WMJ7MQD56ZRT"",""ref_properties"":""{\""relation_id\"":\""ERSO5R\""}""},{""sk"":""Reward#000000000GPWPT65H92PVBCQ43"",""ref_properties"":""{\""relation_id\"":\""CMHO6F\""}""},{""sk"":""Reward#000000000GGCSGMT3WQJ3GN35N"",""ref_properties"":""{\""relation_id\"":\""LTRYTF\""}""},{""sk"":""Reward#000000000GK743JP3HH0P9SRB0"",""ref_properties"":""{\""relation_id\"":\""42JI0Z\""}""},{""sk"":""Reward#000000000G26Q14QCAM1TH6X9C"",""ref_properties"":""{\""relation_id\"":\""2ZLJKP\""}""}","{""sk"":""Testimonial#00000000104CJTVWH1MPRGCKFM"",""ref_properties"":""{\""relation_id\"":\""SVDYDQ\""}""},{""sk"":""Testimonial#0000000010K4B6YWP3SSW9CVSR"",""ref_properties"":""{\""relation_id\"":\""6GVBZQ\""}""},{""sk"":""Testimonial#0000000010SE4JBBZ1KARER9X4"",""ref_properties"":""{\""relation_id\"":\""TDK6L7\""}""},{""sk"":""Testimonial#0000000010B6PE0FZ3B6JSFRTY"",""ref_properties"":""{\""relation_id\"":\""4J295E\""}""},{""sk"":""Testimonial#000000001011MFCTVVNGPAQJCB"",""ref_properties"":""{\""relation_id\"":\""V5KAQ1\""}""},{""sk"":""Testimonial#0000000010XZY46RT6FGVK7TEB"",""ref_properties"":""{\""relation_id\"":\""8OLQZ8\""}""},{""sk"":""Testimonial#0000000010WSZXQS0CDPMQ03QV"",""ref_properties"":""{\""relation_id\"":\""QT0A6B\""}""}",,,"{""serial_number"":""-55"",""code"":""QWZ88TP"",""is_required_for_badge_award"":""false"",""question"":""test mansi"",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""2"",""code"":""QQKCJCH"",""is_required_for_badge_award"":""false"",""question"":""Quest 56"",""is_frozen"":""false"",""ans_type"":""string""}"
Opportunity#0000000010YHJCSGAKECPBFQ65,,,"{""sk"":""Cohort#0000000010XA3VYQFYFBB6Y653"",""created_at"":""1740727669455"",""ref_properties"":""{\""relation_id\"":\""M3DA4P\""}""}",,,,,,,
Opportunity#0000000010ZNX2EXET8MGC9F7B,,,"{""sk"":""Cohort#0000000010J1KD8ZS86BS8RXDD"",""created_at"":""1701751143120"",""ref_properties"":""{\""relation_id\"":\""3WPBHP\""}""}",,,,,,,"{""is_required_for_badge_award"":""false"",""code"":""QW414IY"",""question"":""Question1"",""is_frozen"":""false"",""ans_type"":""boolean""},{""is_required_for_badge_award"":""false"",""code"":""QP99HU7"",""question"":""Question2"",""is_frozen"":""false"",""ans_type"":""string""},{""is_required_for_badge_award"":""false"",""code"":""QKZTWF6"",""question"":""Question3"",""is_frozen"":""false"",""ans_type"":""boolean""},{""code"":""QZ0IG93"",""is_required_for_badge_award"":""false"",""question"":""Additional Notes"",""is_frozen"":""false"",""ans_type"":""string""}"
